x,y,t
27,33,1824
29,48,1837
32,78,1850
38,131,1862
49,194,1874
67,260,1887
89,315,1902
110,350,1913
123,365,1925
136,376,1939
152,384,1952
175,391,1965
202,395,1977
236,397,1990
275,395,2003
305,393,2019
328,391,2029
351,389,2040
369,389,2054
381,388,2069
390,386,2079
402,383,2304
431,381,2326
467,381,2338
504,383,2351
525,385,2361
537,386,2374
549,388,2388
560,389,2403
570,391,2413
579,393,2426
586,394,2438
593,395,2452
598,396,2476
602,397,2489
606,399,2504
610,400,2517
614,401,2528
618,403,2540
623,405,2554
628,407,2566
632,409,2578
637,410,2592
642,411,2605
647,411,2630
652,411,2645
657,411,2657
661,410,2671
666,410,2687
675,409,2702
679,409,2716
683,408,2727
687,409,2739
690,409,2754
693,408,2762
697,408,2773
700,408,2801
703,408,2809
705,408,2821
707,408,2836
708,408,2848
710,408,2859
712,408,2873
714,408,2887
715,407,2899
716,406,2911
717,406,2923
718,405,2937
718,405,2954
718,405,2962
719,405,2988
