x,y,t
206,406,1355
206,406,1367
206,406,1381
208,406,1393
211,406,1431
231,404,1442
247,402,1453
269,398,1476
302,393,1487
394,371,1498
512,349,1510
580,341,1526
631,341,1539
667,346,1551
686,348,1567
698,350,1579
710,353,1594
709,355,1810
707,361,1834
704,368,1844
701,375,1855
698,382,1870
695,387,1882
692,392,1893
691,395,1906
690,398,1921
689,401,1936
688,403,1958
688,404,1970
688,405,1985
688,407,1996
689,408,2008
690,409,2021
690,409,2035
691,410,2052
691,410,2086
691,410,2112
692,408,2124
694,404,2137
696,396,2154
697,383,2162
698,369,2175
698,355,2188
698,339,2203
697,318,2214
695,282,2234
693,260,2254
691,243,2267
690,230,2277
689,218,2290
687,207,2303
686,196,2317
686,186,2329
686,176,2341
686,167,2355
686,159,2371
686,152,2380
687,146,2405
687,141,2419
687,137,2430
688,134,2443
688,132,2456
688,129,2470
688,127,2483
689,124,2495
690,120,2508
691,116,2520
693,111,2547
696,105,2562
698,99,2575
700,93,2588
702,88,2603
703,84,2620
704,81,2635
705,75,2646
706,73,2669
706,71,2680
706,69,2691
706,68,2703
706,66,2725
706,64,2751
706,61,2751
706,57,2763
707,53,2775
707,49,2788
708,46,2804
709,43,2813
710,41,2827
710,40,2839
710,39,2853
711,37,2868
711,37,2878
711,36,2890
711,35,2904
711,34,2919
711,33,2929
711,32,2942
711,31,2955
711,31,2993
