x,y,t
40,52,2343
38.66666793823242,80,2354
38.66666793823242,120,2367
38.66666793823242,157.3333282470703,2393
40,188,2405
42.66666793823242,217.3333282470703,2418
45.33333206176758,245.3333282470703,2431
49.33333206176758,265.3333435058594,2445
53.33333206176758,282.6666564941406,2456
57.33333206176758,298.6666564941406,2469
60,313.3333435058594,2481
64,326.6666564941406,2496
66.66666412353516,338.6666564941406,2509
69.33333587646484,349.3333435058594,2520
72,357.3333435058594,2533
74.66666412353516,364,2546
76,370.6666564941406,2562
77.33333587646484,374.6666564941406,2571
78.66666412353516,378.6666564941406,2584
80,380,2598
82.66666412353516,382.6666564941406,2612
84,386.6666564941406,2623
85.33333587646484,390.6666564941406,2634
88,394.6666564941406,2648
90.66666412353516,396,2663
94.66666412353516,398.6666564941406,2673
97.33333587646484,401.3333435058594,2687
100,404,2699
104,406.6666564941406,2712
109.33333587646484,408,2728
114.66666412353516,409.3333435058594,2738
121.33333587646484,410.6666564941406,2759
130.6666717529297,410.6666564941406,2764
144,409.3333435058594,2779
164,409.3333435058594,2788
190.6666717529297,406.6666564941406,2802
218.6666717529297,405.3333435058594,2815
258.6666564941406,398.6666564941406,2828
290.6666564941406,394.6666564941406,2841
320,390.6666564941406,2853
344,386.6666564941406,2865
362.6666564941406,384,2880
404,377.3333435058594,2894
422.6666564941406,374.6666564941406,2906
438.6666564941406,373.3333435058594,2919
453.3333435058594,373.3333435058594,2934
466.6666564941406,372,2949
480,372,2963
497.3333435058594,372,3230
530.6666870117188,376,3252
561.3333129882812,380,3276
592,386.6666564941406,3288
612,392,3302
626.6666870117188,394.6666564941406,3315
640,398.6666564941406,3330
649.3333129882812,400,3340
658.6666870117188,401.3333435058594,3353
665.3333129882812,402.6666564941406,3367
672,404,3394
677.3333129882812,405.3333435058594,3403
682.6666870117188,406.6666564941406,3418
688,406.6666564941406,3430
693.3333129882812,406.6666564941406,3446
698.6666870117188,408,3455
702.6666870117188,408,3468
706.6666870117188,408,3494
709.3333129882812,408,3507
712,408,3519
713.3333129882812,408,3532
714.6666870117188,408,3558
716,408,3571
717.3333129882812,408,3596
718.6666870117188,408,3647
