x,y,t
704,52,2969
698.6666870117188,74.66666412353516,2981
693.3333129882812,98.66666412353516,2995
689.3333129882812,125.33333587646484,3011
684,153.3333282470703,3020
678.6666870117188,190.6666717529297,3033
674.6666870117188,221.3333282470703,3046
670.6666870117188,309.3333435058594,3061
669.3333129882812,344,3071
669.3333129882812,362.6666564941406,3084
670.6666870117188,380,3108
673.3333129882812,410.6666564941406,3123
674.6666870117188,426.6666564941406,3135
677.3333129882812,448,3148
674.6666870117188,448,3546
669.3333129882812,449.3333435058594,3559
658.6666870117188,450.6666564941406,3571
632,450.6666564941406,3585
610.6666870117188,449.3333435058594,3597
590.6666870117188,448,3611
569.3333129882812,446.6666564941406,3627
546.6666870117188,445.3333435058594,3635
524,445.3333435058594,3647
505.3333435058594,445.3333435058594,3661
485.3333435058594,445.3333435058594,3674
466.6666564941406,445.3333435058594,3686
448,445.3333435058594,3699
430.6666564941406,445.3333435058594,3712
413.3333435058594,444,3729
396,444,3738
381.3333435058594,442.6666564941406,3751
366.6666564941406,441.3333435058594,3764
352,438.6666564941406,3779
340,437.3333435058594,3795
328,436,3804
310.6666564941406,433.3333435058594,3817
302.6666564941406,433.3333435058594,3831
296,433.3333435058594,3844
290.6666564941406,432,3854
284,430.6666564941406,3866
277.3333435058594,429.3333435058594,3878
272,428,3892
268,426.6666564941406,3904
265.3333435058594,425.3333435058594,3916
262.6666564941406,424,3930
258.6666564941406,422.6666564941406,3944
254.6666717529297,422.6666564941406,3955
250.6666717529297,421.3333435058594,3967
246.6666717529297,421.3333435058594,3981
242.6666717529297,420,3995
238.6666717529297,418.6666564941406,4007
233.3333282470703,418.6666564941406,4018
230.6666717529297,417.3333435058594,4032
228,417.3333435058594,4045
225.3333282470703,416,4062
221.3333282470703,414.6666564941406,4070
217.3333282470703,413.3333435058594,4083
213.3333282470703,412,4096
208,410.6666564941406,4113
202.6666717529297,409.3333435058594,4122
198.6666717529297,408,4141
194.6666717529297,408,4147
193.3333282470703,408,4162
190.6666717529297,406.6666564941406,4173
