x,y,t
711,44,3319
711,52,3339
711,66,3355
711,105,3372
713,131,3389
714,159,3406
717,226,3422
719,248,3439
720,261,3456
722,288,3472
723,301,3489
725,324,3506
726,342,3524
726,383,3539
724,385,3845
717,389,3868
713,392,3881
707,395,3894
699,399,3917
691,402,3923
681,406,3939
671,409,3955
648,414,3972
635,415,3989
623,416,4005
595,416,4022
580,416,4042
566,415,4056
551,415,4072
522,414,4089
508,414,4105
494,414,4122
481,413,4139
455,413,4156
442,413,4173
430,412,4189
407,412,4207
395,412,4223
383,412,4239
372,412,4256
361,411,4273
351,411,4289
332,409,4306
323,408,4324
314,408,4340
297,406,4357
290,406,4372
283,405,4389
276,405,4406
263,405,4424
256,405,4439
249,405,4456
236,407,4472
230,407,4489
225,407,4506
221,407,4522
217,406,4539
215,406,4557
213,406,4572
212,405,4589
212,405,4606
211,404,4624
