x,y,t
93,898,t
94,898,t
94,897,t
96,893,t
100,885,t
108,867,t
120,841,t
134,813,t
148,783,t
164,749,t
178,715,t
190,683,t
202,655,t
212,625,t
220,593,t
224,555,t
226,515,t
228,479,t
228,447,t
226,419,t
222,391,t
216,365,t
210,343,t
202,323,t
194,306,t
188,291,t
183,277,t
178,267,t
173,259,t
170,254,t
168,250,t
167,247,t
165,244,t
163,240,t
162,235,t
160,230,t
159,225,t
159,221,t
158,215,t
157,210,t
156,206,t
153,202,t
151,199,t
148,195,t
144,192,t
136,185,t
133,181,t
129,178,t
125,174,t
123,171,t
121,167,t
118,164,t
116,162,t
112,159,t
109,157,t
106,154,t
101,152,t
95,151,t
90,148,t
85,146,t
80,142,t
74,138,t
68,134,t
64,132,t
61,130,t
58,126,t
55,124,t
53,122,t
48,121,t
45,120,t
42,119,t
40,118,t
38,117,t
37,116,t
36,116,t
35,115,t
35,114,t
34,113,t
33,112,t
31,111,t
30,110,t
29,109,t
29,108,t
29,107,t
29,106,t
29,105,t
29,104,t
29,103,t
29,102,t
29,101,t
29,100,t
29,99,t
29,98,t
29,97,t
28,96,t
28,95,t
28,94,t
29,92,t
31,91,t
32,90,t
33,89,t
34,88,t
33,88,t
32,91,t
31,92,t
30,93,t
29,96,t
28,98,t
27,101,t
26,102,t
25,104,t
24,107,t
23,110,t
22,114,t
21,119,t
20,123,t
19,129,t
17,134,t
16,139,t
15,145,t
14,152,t
12,158,t
11,166,t
11,176,t
11,187,t
11,201,t
11,216,t
13,229,t
14,242,t
16,256,t
19,269,t
23,280,t
24,292,t
28,304,t
29,313,t
32,322,t
34,332,t
37,341,t
41,354,t
47,369,t
53,382,t
57,391,t
62,400,t
66,409,t
69,414,t
73,421,t
77,426,t
79,432,t
82,436,t
84,441,t
86,444,t
89,449,t
92,454,t
96,457,t
100,462,t
104,466,t
106,470,t
109,473,t
112,474,t
115,476,t
118,477,t
120,478,t
123,479,t
126,480,t
129,481,t
132,482,t
136,482,t
140,482,t
147,483,t
152,483,t
159,483,t
166,483,t
172,483,t
178,483,t
186,485,t
196,485,t
207,485,t
217,485,t
230,485,t
246,485,t
259,483,t
275,481,t
293,481,t
311,481,t
327,479,t
343,478,t
359,476,t
373,476,t
389,472,t
406,468,t
428,462,t
450,456,t
468,450,t
485,447,t
504,443,t
543,437,t
565,431,t
582,429,t
598,427,t
612,427,t
626,427,t
637,427,t
645,427,t
655,427,t
660,427,t
664,427,t
669,427,t
673,427,t
678,427,t
681,427,t
684,427,t
687,427,t
689,428,t
690,429,t
691,430,t
694,434,t
698,437,t
702,441,t
707,446,t
711,450,t
714,453,t
720,459,t
722,461,t
724,463,t
725,464,t
726,465,t
727,466,t
727,467,t
727,468,t
726,472,t
725,475,t
724,478,t
723,481,t
721,484,t
720,487,t
719,490,t
718,492,t
717,494,t
716,495,t
715,496,t
714,496,t
713,496,t
712,496,t
711,495,t
709,494,t
708,493,t
707,492,t
706,491,t
705,490,t
704,489,t
703,488,t
702,488,t
702,487,t
701,486,t
701,485,t
700,484,t
700,483,t
700,482,t
696,485,t
690,489,t
678,497,t
664,506,t
644,518,t
622,530,t
598,542,t
572,554,t
546,566,t
524,578,t
504,590,t
486,602,t
468,616,t
450,632,t
428,646,t
408,660,t
390,672,t
372,682,t
359,690,t
344,697,t
333,705,t
324,709,t
317,713,t
308,719,t
299,724,t
292,730,t
283,736,t
267,747,t
249,759,t
229,775,t
207,791,t
187,803,t
165,815,t
145,827,t
127,837,t
112,845,t
98,850,t
89,855,t
82,856,t
77,858,t
72,860,t
67,861,t
64,862,t
62,863,t
61,864,t
60,865,t
59,866,t
58,867,t
58,868,t
57,869,t
57,872,t
58,874,t
59,877,t
60,878,t
61,880,t
62,881,t
63,882,t
64,883,t
64,884,t
65,885,t
65,886,t
66,887,t
67,888,t
68,889,t
68,890,t
69,891,t
69,892,t
70,892,t
71,893,t
72,893,t
72,894,t
73,894,t
