x,y,t
748,125,t
745,123,t
743,122,t
740,121,t
736,119,t
733,117,t
732,114,t
732,112,t
733,107,t
733,105,t
732,104,t
730,103,t
727,103,t
723,105,t
712,111,t
705,116,t
695,123,t
684,130,t
671,138,t
653,150,t
635,162,t
617,174,t
595,188,t
577,198,t
559,210,t
541,222,t
523,232,t
485,252,t
468,262,t
450,270,t
434,280,t
419,287,t
407,294,t
396,299,t
386,304,t
379,308,t
374,310,t
369,313,t
366,314,t
364,315,t
361,316,t
360,317,t
358,318,t
356,319,t
355,319,t
354,320,t
352,320,t
350,321,t
348,322,t
346,323,t
344,324,t
341,326,t
338,328,t
336,330,t
334,331,t
333,332,t
332,333,t
330,334,t
329,335,t
328,336,t
327,337,t
326,337,t
326,338,t
325,339,t
324,341,t
322,344,t
320,349,t
316,354,t
312,361,t
308,368,t
303,378,t
297,392,t
291,407,t
283,423,t
276,437,t
269,451,t
262,466,t
255,478,t
248,489,t
242,499,t
237,509,t
232,515,t
230,520,t
229,522,t
228,524,t
227,525,t
226,525,t
226,526,t
225,526,t
224,522,t
224,519,t
223,515,t
222,513,t
221,511,t
220,510,t
219,509,t
218,508,t
217,507,t
216,506,t
215,505,t
214,505,t
213,505,t
212,505,t
211,505,t
210,505,t
209,505,t
208,505,t
207,506,t
206,506,t
205,506,t
204,506,t
202,506,t
201,505,t
199,504,t
197,503,t
194,501,t
191,499,t
189,497,t
187,495,t
186,493,t
185,492,t
184,491,t
183,490,t
183,489,t
183,489,t
188,489,t
192,489,t
197,488,t
203,486,t
211,485,t
222,483,t
237,478,t
258,472,t
280,466,t
302,458,t
324,452,t
350,446,t
376,442,t
402,440,t
430,440,t
458,440,t
484,438,t
506,438,t
523,438,t
538,438,t
553,440,t
566,442,t
580,443,t
593,445,t
607,448,t
618,452,t
625,453,t
634,456,t
644,461,t
651,465,t
659,469,t
668,474,t
675,477,t
680,478,t
684,479,t
685,480,t
686,480,t
686,481,t
687,482,t
688,485,t
689,488,t
690,490,t
691,493,t
692,495,t
693,496,t
694,497,t
695,498,t
696,498,t
696,499,t
697,499,t
700,495,t
703,490,t
707,482,t
712,474,t
717,461,t
720,447,t
723,434,t
725,419,t
725,406,t
725,394,t
724,384,t
722,376,t
722,369,t
722,365,t
722,360,t
722,354,t
722,350,t
721,346,t
720,341,t
719,337,t
718,331,t
716,321,t
715,312,t
713,302,t
713,294,t
713,287,t
713,281,t
713,275,t
713,270,t
713,265,t
713,261,t
713,256,t
713,253,t
713,249,t
713,244,t
713,240,t
713,235,t
713,231,t
714,226,t
714,221,t
714,218,t
714,215,t
714,211,t
714,206,t
714,201,t
716,197,t
717,192,t
718,187,t
719,179,t
721,172,t
721,166,t
722,160,t
723,154,t
724,148,t
726,140,t
726,131,t
726,123,t
727,116,t
727,111,t
726,105,t
725,100,t
724,96,t
723,92,t
722,90,t
722,87,t
721,86,t
720,86,t
719,85,t
718,84,t
717,83,t
716,82,t
715,82,t
713,81,t
712,80,t
710,80,t
709,80,t
708,80,t
707,80,t
706,80,t
705,80,t
704,80,t
703,81,t
702,81,t
702,82,t
702,83,t
702,84,t
702,86,t
701,89,t
701,92,t
701,95,t
700,98,t
699,103,t
698,107,t
696,115,t
695,121,t
693,134,t
690,149,t
684,163,t
677,180,t
663,201,t
647,225,t
629,249,t
607,279,t
579,311,t
547,349,t
513,387,t
485,421,t
457,453,t
431,485,t
407,519,t
383,555,t
335,629,t
311,663,t
291,693,t
273,721,t
259,747,t
249,769,t
241,787,t
236,800,t
233,809,t
232,814,t
229,820,t
227,826,t
225,832,t
224,836,t
223,840,t
222,842,t
222,843,t
224,839,t
227,832,t
232,823,t
236,814,t
241,806,t
245,796,t
250,786,t
256,777,t
263,767,t
271,758,t
279,748,t
285,739,t
292,730,t
296,726,t
298,724,t
298,723,t
298,724,t
297,724,t
293,730,t
287,736,t
283,742,t
279,748,t
267,764,t
261,774,t
255,785,t
243,796,t
232,807,t
221,820,t
210,833,t
195,846,t
179,860,t
168,869,t
152,881,t
141,888,t
132,895,t
122,901,t
115,905,t
107,910,t
101,914,t
98,915,t
96,916,t
94,917,t
93,918,t
92,919,t
91,920,t
90,921,t
89,921,t
88,919,t
87,916,t
87,911,t
87,907,t
88,902,t
89,898,t
90,894,t
91,891,t
92,888,t
93,886,t
93,885,t
93,886,t
92,888,t
92,889,t
92,890,t
92,891,t
92,892,t
92,893,t
92,894,t
92,895,t
92,896,t
92,897,t
92,898,t
93,898,t
