x,y,t
33,29,2351
33,43,2364
32,66,2378
31,98,2390
30,123,2415
29,142,2428
28,158,2442
28,172,2454
28,184,2465
28,196,2493
28,208,2504
28,220,2517
29,232,2530
30,244,2544
31,256,2569
32,268,2581
33,280,2595
34,290,2612
35,300,2632
36,315,2658
36,321,2671
36,327,2696
37,333,2710
38,338,2722
38,344,2734
39,350,2748
39,356,2761
40,361,2785
40,366,2799
41,372,2813
41,377,2826
42,383,2850
43,388,2863
45,393,2877
46,397,2889
47,401,2901
48,405,2927
49,410,2939
50,414,2952
51,418,2965
51,421,2978
52,423,3003
53,425,3016
55,426,3029
60,428,3047
70,427,3053
85,424,3083
106,420,3096
146,413,3110
209,406,3122
259,402,3135
305,401,3149
331,401,3176
346,402,3186
358,402,3199
368,403,3213
377,404,3232
383,404,3246
387,404,3262
393,402,3482
409,399,3505
433,396,3516
483,394,3528
551,394,3545
591,396,3565
619,399,3579
640,403,3597
652,406,3604
663,409,3617
672,411,3630
680,413,3645
686,415,3668
691,416,3692
694,417,3696
698,418,3711
701,419,3719
703,420,3746
706,421,3758
708,422,3771
710,423,3783
713,424,3810
716,425,3822
720,426,3834
725,428,3861
728,429,3873
732,430,3886
735,431,3899
737,432,3925
739,433,3938
740,433,3949
740,433,3975
740,432,4001
740,430,4014
738,428,4029
736,426,4052
733,423,4064
730,422,4079
728,420,4091
725,419,4102
723,418,4119
721,417,4132
720,417,4149
718,416,4164
717,416,4171
716,415,4183
716,415,4208
715,415,4212
715,415,4223
714,415,4246
714,415,4259
714,415,4270
