x,y,t
198,404,149424
209,398,149429
229,391,149440
254,382,149451
279,373,149462
307,363,149479
334,355,149490
361,346,149501
391,337,149514
417,329,149527
441,323,149540
464,317,149553
484,313,149565
502,310,149580
519,308,149593
534,305,149605
548,305,149616
562,304,149630
577,304,149643
592,305,149656
607,307,149669
621,310,149681
634,313,149694
648,317,149711
661,320,149719
672,324,149731
681,327,149744
689,330,149760
696,332,149776
701,335,149788
706,337,149799
710,340,149812
714,343,149827
722,348,149843
725,350,149853
728,352,149864
730,353,149877
732,355,149887
734,357,149898
735,359,149911
736,362,149925
737,366,149942
738,369,149949
737,372,149961
738,376,149979
737,380,149989
736,383,150000
735,386,150013
734,389,150027
732,393,150043
731,396,150052
729,399,150064
726,402,150077
723,405,150093
721,407,150103
719,408,150115
718,410,150128
716,411,150146
715,412,150153
713,413,150167
710,414,150180
707,415,150192
704,415,150206
700,416,150217
697,415,150230
694,414,150244
691,411,150260
689,409,150268
687,405,150281
685,402,150296
683,397,150309
682,392,150320
682,386,150334
682,378,150346
682,370,150361
682,362,150375
683,354,150384
683,346,150397
684,337,150411
686,326,150425
688,315,150436
691,303,150457
701,274,150461
706,258,150476
711,244,150488
716,230,150499
722,216,150513
728,204,150527
733,193,150538
738,184,150550
741,176,150563
744,169,150577
746,164,150595
748,159,150602
749,153,150616
750,148,150628
750,139,150642
750,135,150653
750,132,150666
750,129,150679
749,126,150695
749,124,150708
748,120,150717
747,115,150729
746,111,150744
745,107,150760
743,103,150768
740,98,150781
735,91,150798
727,78,150811
721,73,150826
716,68,150836
711,64,150850
707,60,150863
700,51,150877
697,47,150890
694,42,150900
691,36,150911
688,30,150924
686,24,150934
684,20,150947
681,13,150974
679,10,150986
678,8,150997
678,6,151011
677,5,151024
676,4,151036
676,4,151049
676,3,151062
676,2,151076
675,2,151092
675,2,151100
675,2,151113
677,3,151126
679,3,151139
684,1,151151
687,0,151164
689,-1,151177
692,-2,151189
696,-3,151203
700,-4,151216
704,-5,151228
707,-5,151241
709,-6,151255
712,-5,151266
713,-5,151279
715,-5,151293
716,-5,151305
717,-4,151318
717,-4,151330
718,-4,151343
718,-4,151394
718,-4,151409
718,-3,151420
718,-3,151446
718,-2,151458
718,0,151473
717,3,151489
715,8,151497
711,17,151510
709,21,151524
708,24,151535
707,27,151549
706,29,151561
706,31,151578
705,33,151588
705,34,151600
704,35,151612
704,35,151627
704,36,151644
704,36,151650
704,36,151676
